 75 NGVS-UCD75  NGVS-J121846.72+055638.8 l 184.6946699  5.9440973 0.020 21.342 0.004               1.116 0.014  0.695 0.007  0.818 0.012  0.035 1
 76 NGVS-UCD76  NGVS-J121849.06+143912.1 l 184.7044002 14.6533714 0.038 21.282 0.005               0.925 0.014  0.716 0.009  0.826 0.014 -0.024 0
 77 NGVS-UCD77  NGVS-J121851.36+090556.6 l 184.7140101  9.0990516 0.021 21.489 0.004               0.977 0.013  0.724 0.009  0.771 0.012  0.021 1
 78 NGVS-UCD78  NGVS-J121852.73+142546.8 l 184.7197129 14.4296801 0.039 18.207 0.001 15.817 0.027  0.297 0.002  0.245 0.001  0.261 0.002  0.068 0
 79 NGVS-UCD79  NGVS-J121858.75+120206.1 l 184.7447924 12.0350239 0.033 21.072 0.003               1.037 0.013  0.555 0.008  0.783 0.011  0.025 1
 80 NGVS-UCD80  NGVS-J121900.19+090017.0 l 184.7507849  9.0047154 0.021 21.120 0.003               0.922 0.010  0.664 0.007  0.732 0.009  0.047 0
 81 NGVS-UCD81  NGVS-J121900.41+055307.7 l 184.7516905  5.8854702 0.018 21.365 0.004               0.868 0.011  0.638 0.007  0.766 0.013  0.005 1
 82 NGVS-UCD82  NGVS-J121906.50+130013.7 l 184.7770652 13.0038046 0.042 21.266 0.003               0.944 0.012  0.691 0.007  0.762 0.010  0.074 1
 83 NGVS-UCD83  NGVS-J121912.82+162336.5 l 184.8033989 16.3934800 0.027 20.087 0.001               0.940 0.005  0.741 0.003  0.890 0.004  0.043 1
 84 NGVS-UCD84  NGVS-J121913.64+054928.6 l 184.8068367  5.8245984 0.018 20.803 0.003 17.485 0.087  1.324 0.011  1.005 0.004  1.194 0.007  0.025 1
 85 NGVS-UCD85  NGVS-J121916.77+171059.6 l 184.8198708 17.1832287 0.024 20.754 0.002               0.860 0.006  0.602 0.004  0.690 0.007 -0.025 1
 86 NGVS-UCD86  NGVS-J121917.28+110032.9 l 184.8220084 11.0091500 0.035 21.179 0.003               1.058 0.010  0.826 0.006  0.957 0.007  0.033 0
 87 NGVS-UCD87  NGVS-J121925.72+083039.5 l 184.8571689  8.5109851 0.020 21.452 0.004               1.019 0.013  0.745 0.008  0.848 0.011 -0.023 1
 88 NGVS-UCD88  NGVS-J121927.58+170838.4 l 184.8648981 17.1439978 0.023 20.922 0.002               0.971 0.008  0.795 0.005  0.917 0.008  0.014 0
 89 NGVS-UCD89  NGVS-J121927.67+055004.0 l 184.8652937  5.8344359 0.018 21.110 0.004               1.086 0.012  0.644 0.007  0.783 0.012 -0.005 1
 90 NGVS-UCD90  NGVS-J121934.77+142526.4 l 184.8948948 14.4239915 0.037 20.736 0.002               0.862 0.007  0.583 0.005  0.677 0.008  0.019 1
 91 NGVS-UCD91  NGVS-J121938.31+170043.9 l 184.9096101 17.0121823 0.024 19.776 0.002               0.883 0.005  0.756 0.004  0.824 0.005  0.081 0
 92 NGVS-UCD92  NGVS-J121948.74+122435.8 l 184.9530954 12.4099381 0.037 18.774 0.001 15.378 0.015  1.638 0.003  1.119 0.001  1.400 0.001  0.092 0
 93 NGVS-UCD93  NGVS-J121949.20+060053.7 s 184.9549885  6.0149214 0.020 15.330 0.001 11.995 0.001               1.032 0.002  1.307 0.002  0.413 0
 94 NGVS-UCD94  NGVS-J121955.43+170921.2 l 184.9809395 17.1558898 0.025 20.607 0.002               1.037 0.007  0.812 0.004  0.953 0.006  0.018 1
 95 NGVS-UCD95  NGVS-J122006.94+162041.0 l 185.0289350 16.3447223 0.027 20.639 0.002               0.944 0.007  0.784 0.004  0.869 0.006  0.023 1
 96 NGVS-UCD96  NGVS-J122008.01+125100.5 l 185.0333669 12.8501506 0.050 20.314 0.002 16.898 0.051  1.463 0.008  1.105 0.003  1.311 0.003  0.059 1
 97 NGVS-UCD97  NGVS-J122025.98+124853.3 l 185.1082438 12.8148176 0.049 21.382 0.004               0.995 0.013  0.593 0.008  0.646 0.012 -0.004 1
 98 NGVS-UCD98  NGVS-J122031.85+100742.3 l 185.1327138 10.1284209 0.024 20.234 0.002 16.202 0.031  1.705 0.008  1.187 0.003  1.476 0.004 -0.180 0
 99 NGVS-UCD99  NGVS-J122032.58+111705.4 l 185.1357588 11.2848272 0.033 20.775 0.002               0.855 0.009  0.653 0.006  0.763 0.008  0.119 1
100 NGVS-UCD100 NGVS-J122032.70+100703.7 l 185.1362421 10.1177017 0.024 18.600 0.001 14.988 0.011  1.727 0.003  1.136 0.001  1.404 0.002  0.085 0
101 NGVS-UCD101 NGVS-J122036.33+125305.1 l 185.1513543 12.8847388 0.047 21.166 0.003               1.006 0.012  0.721 0.007  0.814 0.009  0.154 0
102 NGVS-UCD102 NGVS-J122038.81+105854.7 l 185.1617080 10.9818520 0.035 21.447 0.004 18.893 0.308  1.009 0.014  0.697 0.008  0.760 0.011  0.062 0
103 NGVS-UCD103 NGVS-J122048.88+122333.5 l 185.2036578 12.3926498 0.036 21.026 0.003               0.952 0.010  0.603 0.007  0.759 0.008  0.023 1
104 NGVS-UCD104 NGVS-J122050.94+160724.7 l 185.2122552 16.1235140 0.028 20.918 0.003               1.033 0.009  0.720 0.005  0.808 0.009  0.018 1
105 NGVS-UCD105 NGVS-J122054.05+100044.4 l 185.2252274 10.0123427 0.022 21.367 0.004               0.893 0.012  0.589 0.009  0.668 0.013  0.005 1
106 NGVS-UCD106 NGVS-J122057.04+064320.5 l 185.2376787  6.7223666 0.018 20.929 0.003               0.966 0.010  0.626 0.006  0.660 0.012  0.024 1
107 NGVS-UCD107 NGVS-J122100.19+080838.5 l 185.2507862  8.1440259 0.020 20.551 0.002 18.301 0.193  0.947 0.007  0.590 0.005  0.664 0.007  0.017 1
108 NGVS-UCD108 NGVS-J122117.63+154412.4 l 185.3234564 15.7367774 0.022 21.412 0.004               1.068 0.013  0.786 0.007  0.928 0.012  0.052 1
109 NGVS-UCD109 NGVS-J122128.72+112210.2 l 185.3696523 11.3694955 0.036 21.347 0.004               0.966 0.011  0.800 0.007  0.870 0.009  0.059 0
110 NGVS-UCD110 NGVS-J122130.00+153841.7 l 185.3750201 15.6449242 0.022 21.096 0.003               0.888 0.010  0.627 0.007  0.713 0.014 -0.014 1
111 NGVS-UCD111 NGVS-J122130.31+134606.7 l 185.3762735 13.7685331 0.046 21.341 0.004               1.046 0.013  0.626 0.008  0.738 0.013  0.018 1
112 NGVS-UCD112 NGVS-J122130.45+135201.0 l 185.3768762 13.8669543 0.047 20.806 0.003               1.158 0.009  0.748 0.005  0.870 0.008  0.131 1
113 NGVS-UCD113 NGVS-J122130.68+082419.3 l 185.3778462  8.4053488 0.019 21.128 0.003               1.028 0.010  0.616 0.007  0.706 0.010 -0.029 1
114 NGVS-UCD114 NGVS-J122130.68+165212.1 l 185.3778490 16.8700392 0.027 21.076 0.003               1.037 0.010  0.689 0.006  0.809 0.010  0.010 1
115 NGVS-UCD115 NGVS-J122133.80+083052.3 l 185.3908515  8.5145406 0.019 21.407 0.004               0.880 0.011  0.799 0.008  0.866 0.010 -0.039 1
