rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10,hyperleda_type,is_lit_host,is_cluster,score_lum,score_lit,score_field,score_dist,total_score
21,1,NGC 1332,51.5717781,-21.3351665,-54.36641562314141,212.18246846720425,23.834168206731523,CF4,-24.834000000000003,11.245600000000003,176035395361.6177,7.052,6.8666267,6.9006605,,31.794,,32.596,,,,0.0054000001400709,True,E-SO,False,False,36.138743455497405,0,20,0.9326654346147811,57.07140889011219
43,1,NGC 0134,7.5915242,-33.2439604,-82.37807229909504,338.3077685467064,18.749945080674173,CF4,-24.520999999999994,11.120399999999998,131947145719.51126,6.844,6.573942,6.4556513,,,31.365,,,,,0.0052769999019801,True,SBbc,False,False,32.0418848167538,0,20,5.000043935460661,57.04192875221446
106,1,NGC 6744,287.4424108,-63.857498,-26.146596707347182,332.22407750412424,9.51,LVG,-23.95590258468707,10.89436103387483,78408118739.76108,5.935,5.3951406,5.3527837,29.81,,29.515,,4.0,9.1,5.9,0.0028049999382346,True,,False,False,24.64532178909779,0,20,12.392,57.03732178909779
40,1,NGC 0936,36.9059853,-1.1559685,-55.26379056978095,168.57351911030193,19.85307884216309,NED-LVS,-24.57613933647179,11.14245573458872,138821180940.12106,6.913,6.8540945,6.877474,,,,,,,,0.0047829998657107,True,SO-a,False,False,32.76360388052089,0,20,4.11753692626953,56.88114080679042
35,1,NGC 2655,133.9083029,78.2233042,32.68855081091609,134.92315803770745,20.634787461531964,CF4,-24.622,11.160800000000002,144810482305.13788,6.951,6.9254017,6.9245763,,,,,,,,0.0046700001694262,True,SO-a,False,False,33.363874345549725,0,20,3.4921700307744286,56.85604437632416
51,1,NGC 5907:[IDD2022] X026,228.97183208333,56.32988,51.08731838729712,91.58655210073468,16.896626340487042,CF4,-24.382000000000005,11.064800000000004,116091387012.61916,6.757,6.4537177,6.3234153,31.14,,31.075,,,,,0.0022179998923093,True,Sc,False,False,30.222513089005286,0,20,6.482698927610366,56.705212016615654
84,1,NGC 4697,192.1495343,-5.8006418,57.06394229603274,301.6327763153962,12.439416235583076,CF4,-24.107000000000003,10.954800000000002,90115604433.97092,6.367,6.092176,6.1711836,,30.474,,,,,,0.004139999859035,True,E,False,False,26.623036649214683,0,20,10.048467011533539,56.67150366074822
31,1,NGC 7213,332.31770833333,-47.16675,-52.58013594506099,349.58836658755274,22.0,NED-LVS,-24.677113404111036,11.182845361644416,152351018402.50497,7.035,6.57454,6.5211115,,,,,,,,0.0058389999903738,True,Sa,False,False,34.08525398051092,0,20,2.4,56.48525398051092
120,1,MESSIER 077,40.6696,-0.0132865,-51.93380021991082,172.1036738185773,8.381170272827148,NED-LVS,-23.828523319610937,10.843409327844377,69728340260.80914,5.788,5.201959,4.1434016,,,,,,,,0.0037930000107735,True,Sb,False,False,22.978053921609142,0,20,13.295063781738282,56.273117703347424
52,1,NGC 1566,65.0016417,-54.9379439,-43.39329177538479,264.31031900415144,17.899999618530273,NED-LVS,-24.378265108622873,11.06330604344915,115692723130.51248,6.886,6.614419,6.5017614,,,,,,,,0.005016999784857,True,SBbc,False,False,30.173627076215602,0,20,5.680000305175781,55.853627381391384
140,1,MESSIER 101,210.80226708333,54.34895,59.771296494849686,102.0373660508558,6.95,LVG,-23.697924022950566,10.791169609180228,61825780713.402,5.512,5.121573,5.0427136,29.07,,,,6.0,8.3,5.5,0.0008040000102482,True,,False,False,21.26863904385559,0,20,14.44,55.708639043855584
107,1,MESSIER 105,161.9566882,12.581599,57.63280206818449,233.4902056786836,11.050959823315376,CF4,-23.947,10.8908,77767833445.57065,6.27,6.0834827,6.1436186,30.22,30.164,,,-3.0,10.2,6.3,0.0030260933563113,True,,False,False,24.528795811518293,0,20,11.1592321413477,55.688027952865994
60,1,NGC 3675,171.5357038,43.5860267,66.19096874955825,163.66040982299455,17.179083871575884,CF4,-24.320000000000004,11.040000000000004,109647819614.31918,6.855,6.564847,6.523089,,,31.175,,,,,0.0025679999962449,True,Sb,False,False,29.41099476439799,0,20,6.256732902739293,55.667727667137285
48,1,NGC 5033,198.364474,36.593922,79.44786416668298,98.06019257564088,18.663796908346704,CF4,-24.398999999999997,11.0716,117923402065.30025,6.956,6.692923,6.5844994,,,31.355,,,,,0.0029120000544935,True,Sc,False,False,30.44502617801041,0,20,5.068962473322635,55.513988651333044
46,1,NGC 4274,184.960818,29.614698,82.62082618196139,191.39723002690457,19.81527025805098,CF4,-24.453,11.0932,123936720482.06844,7.032,6.9913545,6.979201,,,31.485,,,,,0.0031020001042634,True,SBab,False,False,31.151832460732905,0,20,4.147783793559217,55.29961625429212
131,1,NGC 2903,143.04213,21.50083,44.54009672280068,208.71150968666623,9.15,LVG,-23.771105470332245,10.8204421881329,66136649267.03832,6.036,5.6800594,5.6056614,29.76,,29.815,,4.0,9.5,6.0,0.0018339999951422,True,,False,False,22.226511391783312,0,20,12.68,54.90651139178331
67,1,NGC 4414,186.6131215,31.2235261,83.18205470689949,174.53773022171305,17.458221529205048,CF4,-24.264000000000003,11.017600000000002,104135786152.84384,6.946,6.769393,6.6429996,,,31.295,,,,,0.0023616338148713,True,Sc,False,False,28.67801047120418,0,20,6.033422776635962,54.711433247840134
28,1,NGC 7507,348.03157,-28.53954,-68.03817738695302,23.443231882869128,24.93446188097833,CF4,-24.696,11.190400000000002,155024378887.10495,7.288,6.988438,7.053891,,31.984,,,,,,0.0051569999195635,True,E,False,False,34.33246073298429,0,20,0.052430495217337114,54.384891228201624
30,1,NGC 3169,153.5627301,3.4660832,45.647165759485866,238.20180669115632,24.694486510125824,CF4,-24.68,11.184,152756605823.80765,7.283,6.942184,6.8894014,,,,,,,,0.0041100000962615,True,,False,False,34.12303664921456,0,20,0.244410791899341,54.3674474411139
62,1,NGC 3953,178.4542849,52.3268,62.590275238113925,142.2173845983086,18.663796908346704,CF4,-24.307999999999996,11.0352,108442619576.70737,7.047,6.823382,6.765666,,,31.355,,,,,0.0035019998904317,True,SBbc,False,False,29.25392670157061,0,20,5.068962473322635,54.32288917489324
56,1,NGC 1574,65.49479,-56.97451,-42.58493306343218,266.893643571769,19.696996148999244,CF4,-24.363,11.057200000000002,114077501292.21252,7.109,7.0247297,7.051756,,31.484,,31.406,,,,0.0034719998948276,True,E-SO,False,False,29.973821989528787,0,20,4.242403080800605,54.21622507032939
44,1,NGC 3166,153.440327,3.424804,45.52422274891999,238.14614587275,22.0,NED-LVS,-24.502113404111036,11.112845361644416,129671746921.24214,7.21,7.073941,7.0416813,,,,,,,,0.0039461837150156,True,,False,False,31.79467806428055,0,20,2.4,54.194678064280545
69,1,SN 2016gkg Host,23.5759175,-29.418587,-80.29228479546778,229.0775507684714,17.812410354614258,NED-LVS,-24.2226134583154,11.00104538332616,100240998341.59895,7.031,6.7654448,6.647256,,,,,,,,0.0049400841817259,True,SBbc,False,False,28.136301810410924,0,20,5.750071716308593,53.886373526719524
132,1,MESSIER 096,161.690353,11.820001,57.01023663520777,234.43502647416187,10.42,LVG,-23.76933859481753,10.819735437927012,66029109152.83863,6.32,5.99824,5.984171,30.19,30.144,30.165,,3.0,10.1,6.3,0.0029619999695569,True,,False,False,22.20338474892049,0,20,11.663999999999998,53.867384748920486
