rank,tier,objname,ra,dec,glat,glon,dist_best,dist_source,M_Ks,log_L_K,L_K,m_Ks,m_W1,m_W2,dm_trgb,dm_sbf,dm_tf,dm_fp,ttype_lvg,bmag,kmag,z,has_ls_dr10
101,1,NGC 0908,35.7689255,-21.2337835,-68.3224690005394,202.1389471282791,17.57923613958694,CF4,-23.996,10.910400000000005,81357950560.54015,7.229,6.988526,6.8578815,,,31.225,,,,,0.0050191390328109,True
102,1,NGC 4568,189.1429322,11.239027,73.7310002774424,289.814783864261,19.88592529296875,NED-LVS,-23.976729017666393,10.902691607066558,79926649353.34904,7.516,7.114367,6.9857144,,,,,,,,0.0074460348114371,True
103,1,NGC 0821,32.0881268,10.9949703,-47.55669126165303,151.55545244350398,23.593914430440503,CF4,-23.96400000000001,10.897600000000004,78995072133.5824,7.9,7.7405753,7.7650247,,31.864,,,,,,0.0057870000600814,True
104,1,NGC 1533,62.4659427,-56.1184525,-44.43303578510679,266.44820947660673,20.768254637773875,CF4,-23.962000000000003,10.896800000000002,78849691774.5382,7.625,7.564525,7.5974503,,31.594,,31.536,0.0,11.8,7.6,0.0026350000407546,True
105,1,MESSIER 106,184.7396025,47.30397305556,68.84204477672394,138.32028811447267,7.66,LVG,-23.95714384816302,10.89485753926521,78497809760.53622,5.464,5.246589,5.215584,29.4,29.234,29.345,,4.0,9.1,5.5,0.0015377304516732,True
106,1,NGC 6744,287.4424108,-63.857498,-26.146596707347182,332.22407750412424,9.51,LVG,-23.95590258468707,10.89436103387483,78408118739.76108,5.935,5.3951406,5.3527837,29.81,,29.515,,4.0,9.1,5.9,0.0028049999382346,True
107,1,MESSIER 105,161.9566882,12.581599,57.63280206818449,233.4902056786836,11.050959823315376,CF4,-23.947,10.8908,77767833445.57065,6.27,6.0834827,6.1436186,30.22,30.164,,,-3.0,10.2,6.3,0.0030260933563113,True
108,1,MESSIER 091,188.8602284,14.4963721,76.8296832100701,285.69322805327204,16.18825362642106,CF4,-23.930999999999997,10.8844,76630207227.39183,7.115,6.9353857,6.8999696,,31.354,31.245,,,,,0.0016210000030696,True
109,1,NGC 4666,191.2859771,-0.4620251,62.368236085265615,299.53775612279685,15.595525028269538,CF4,-23.910000000000004,10.876000000000005,75162289401.82106,7.055,6.7232656,6.5351844,,,30.965,,,,,0.0050470000132918,True
110,1,NGC 4984,197.2386174,-15.5162961,47.14413655586325,309.1418157570132,21.299999237060547,NED-LVS,-23.897897939414257,10.871159175765705,74329151602.21698,7.744,7.441984,7.3550644,,,,,,,,0.0042659998871386,True
111,1,NGC 0988,38.865599,-9.356091,-59.6962825168827,181.95875706334735,15.100801541641475,CF4,-23.894999999999996,10.87,74131024130.09161,7.0,6.996151,6.8112807,,,30.895,,,,,0.0050369999371469,True
112,1,NGC 2775,137.5838853,7.0380902,33.98770109767732,223.265641664064,15.28347396850586,NED-LVS,-23.884110407936262,10.865644163174506,73391229468.9341,7.037,6.7019,6.7372465,,,,,,,,0.004499779548496,True
113,1,NGC 4477,187.5092412,13.636532,75.6120762832442,281.5446866719109,17.490410399663027,CF4,-23.862,10.8568,71911773578.2509,7.352,7.112524,7.1661077,,31.204,,31.476,,,,0.0044630002230405,True
114,1,NGC 4473,187.4536659,13.4294195,75.39879698909915,281.6169393494604,15.929421351276272,CF4,-23.853999999999996,10.8536,71383855360.16632,7.157,6.9953575,7.033507,,31.014,,30.846,,,,0.0074849999509751,True
115,1,NGC 4762,193.233266,11.230983,74.09884533828298,304.27020785471865,16.93557708691517,CF4,-23.845,10.85,70794578438.41402,7.299,7.0946536,7.11217,,31.144,,,,,,0.0032889998983591,True
116,1,IC 5267,344.3061783,-43.3958865,-61.80067617877346,350.2376607467911,18.16351931176511,CF4,-23.842,10.8488,70599235789.36682,7.454,7.122487,7.1348686,,,,31.296,,,,0.0057109999470412,True
117,1,NGC 4665,191.2749587,3.0557959,65.87985299032839,299.0575454302861,17.899999618530273,NED-LVS,-23.83826510862287,10.84730604344915,70356794328.91238,7.426,7.1567397,7.1867023,,,,,,,,0.0030420001130551,True
118,1,NGC 4459,187.2501611,13.9785776,75.84638157878645,280.1080715390078,15.73258185446469,CF4,-23.832,10.8448,69951978105.12149,7.152,6.9318047,6.988591,,30.984,,,,,,0.0039760000072419,True
119,1,MESSIER 083,204.25395833333,-29.865416666669997,31.973013804615363,314.5837901528976,4.9,LVG,-23.83198040014257,10.844792160057027,69950715333.90991,4.619,4.255099,4.1309257,28.4,,,,5.0,8.2,4.6,0.0017109999898821,True
120,1,MESSIER 077,40.6696,-0.0132865,-51.93380021991082,172.1036738185773,8.381170272827148,NED-LVS,-23.828523319610937,10.843409327844377,69728340260.80914,5.788,5.201959,4.1434016,,,,,,,,0.0037930000107735,True
121,1,NGC 3717,172.8829404,-30.3076575,29.4729729486148,283.1289705057678,18.57804455091697,CF4,-23.827,10.8428,69630577960.29323,7.518,7.084942,7.0064154,,,31.345,,,,,0.0057810000143945,True
