 75 NGVS J123047.66+120825.2 187.6985647 12.1403408 0.026 19.732|0.001 1.036|0.003 0.486|0.002 0.682|0.002 0.847|0.003 0.556|0.003  0.041 1
 76 NGVS J123047.70+122430.5 187.6987573 12.4084661 0.023 19.779|0.001 1.010|0.004 0.517|0.002 0.765|0.003 0.906|0.003 0.687|0.004  0.019 1
 77 NGVS J123048.19+123510.7 187.7008418 12.5863658 0.021 19.135|0.001 1.130|0.003 0.560|0.001 0.827|0.001 0.971|0.002 0.875|0.003  0.065 1
 78 NGVS J123049.28+123718.2 187.7053422 12.6217134 0.021 19.951|0.001 1.103|0.004 0.563|0.002 0.820|0.002 0.946|0.003 0.808|0.007  0.016 1
 79 NGVS J123049.49+121426.9 187.7062251 12.2408141 0.024 20.574|0.002 1.156|0.007 0.595|0.003 0.747|0.004 0.916|0.006 0.740|0.007  0.015 1
 80 NGVS J123051.07+122611.9 187.7127756 12.4366444 0.022 19.674|0.001 1.271|0.004 0.604|0.002 0.915|0.002 1.124|0.002 1.181|0.002  0.006 1
 81 NGVS J123051.65+121409.9 187.7152156 12.2360794 0.024 21.050|0.003 1.058|0.009 0.550|0.004 0.669|0.005 0.826|0.007 0.513|0.011  0.022 1
 82 NGVS J123051.75+122053.3 187.7156252 12.3481400 0.024 20.806|0.002 1.041|0.007 0.517|0.004 0.764|0.004 0.898|0.006 0.649|0.007 -0.022 1
 83 NGVS J123053.88+121712.4 187.7245095 12.2867885 0.024 21.104|0.003 1.146|0.010 0.503|0.005 0.861|0.005 1.019|0.008 0.888|0.009  0.010 1
 84 NGVS J123054.66+122022.6 187.7277335 12.3396047 0.024 21.301|0.003 0.913|0.009 0.479|0.005 0.706|0.006 0.822|0.009 0.389|0.015 -0.005 1
 85 NGVS J123101.47+121924.5 187.7561416 12.3234824 0.023 19.654|0.001 1.343|0.004 0.626|0.002 0.958|0.002 1.171|0.002 1.203|0.002 -0.009 1
 86 NGVS J123102.14+122749.7 187.7589066 12.4638040 0.021 20.648|0.002 0.943|0.006 0.492|0.003 0.738|0.004 0.865|0.005 0.528|0.008  0.023 1
 87 NGVS J123102.59+123414.1 187.7607769 12.5705885 0.021 19.793|0.001 0.962|0.004 0.515|0.002 0.745|0.002 0.848|0.003 0.574|0.006  0.043 1
 88 NGVS J123103.69+123213.0 187.7653609 12.5369543 0.020 20.012|0.001 0.996|0.005 0.504|0.002 0.758|0.003 0.852|0.004 0.637|0.007  0.031 1
 89 NGVS J123104.35+131042.5 187.7681395 13.1784863 0.025 20.265|0.002 1.349|0.008 0.594|0.003 0.946|0.003 1.157|0.004 1.185|0.008  0.015 1
 90 NGVS J123104.43+122321.2 187.7684426 12.3892326 0.023 20.670|0.002 0.974|0.007 0.471|0.004 0.722|0.005 0.861|0.007 0.569|0.008  0.041 1
 91 NGVS J123104.80+131436.6 187.7699768 13.2435029 0.026 20.640|0.002 1.062|0.007 0.521|0.003 0.723|0.004 0.880|0.007 0.536|0.015  0.104 1
 92 NGVS J123110.14+121627.9 187.7922721 12.2744269 0.022 21.207|0.003 1.096|0.012 0.509|0.005 0.834|0.006 0.981|0.009 0.768|0.010  0.005 1
 93 NGVS J123110.42+130550.4 187.7933990 13.0973410 0.023 20.760|0.002 1.006|0.007 0.515|0.003 0.747|0.004 0.866|0.006 0.592|0.011  0.189 0
 94 NGVS J123111.31+123001.0 187.7971024 12.5002931 0.020 20.759|0.002 1.231|0.007 0.581|0.003 0.872|0.004 1.028|0.005 0.972|0.010  0.073 1
 95 NGVS J123116.32+121845.4 187.8180104 12.3126096 0.022 20.940|0.002 1.067|0.007 0.539|0.003 0.810|0.004 0.947|0.006 0.799|0.007  0.018 1
 96 NGVS J123120.00+121158.1 187.8333318 12.1994729 0.023 20.482|0.001 1.131|0.005 0.504|0.002 0.771|0.003 0.904|0.004 0.699|0.005  0.004 1
 97 NGVS J123124.75+122525.8 187.8531412 12.4238373 0.022 19.799|0.001 1.051|0.003 0.539|0.002 0.774|0.002 0.917|0.002 0.709|0.003  0.007 1
 98 NGVS J123125.25+121931.8 187.8551910 12.3254925 0.023 20.225|0.001 0.970|0.004 0.513|0.002 0.753|0.003 0.873|0.004 0.576|0.004  0.046 1
 99 NGVS J123128.36+122503.6 187.8681630 12.4176659 0.023 19.322|0.001 1.139|0.002 0.572|0.001 0.818|0.001 0.992|0.002 0.869|0.002  0.082 1
100 NGVS J123131.70+113610.7 187.8819752 11.6030553 0.046 21.024|0.003 1.085|0.009 0.438|0.005 0.792|0.006 0.971|0.008 0.700|0.011  0.311 0
101 NGVS J123131.70+124130.4 187.8820942 12.6917714 0.025 19.494|0.002 1.068|0.006 0.623|0.003 0.895|0.004 1.142|0.004 0.913|0.004  0.138 1
102 NGVS J123135.13+123459.4 187.8963932 12.5831576 0.024 20.097|0.001 1.266|0.005 0.616|0.002 0.906|0.002 1.108|0.003 1.089|0.004  0.064 1
103 NGVS J123137.44+121740.7 187.9059957 12.2946473 0.023 20.599|0.002 0.981|0.005 0.417|0.003 0.731|0.004 0.850|0.005 0.559|0.006  0.007 1
104 NGVS J123138.53+115923.9 187.9105228 11.9899637 0.029 20.776|0.002 1.108|0.007 0.505|0.003 0.772|0.004 0.892|0.005 0.687|0.007  0.005 1
105 NGVS J123145.95+122721.1 187.9414762 12.4558597 0.025 21.342|0.003 0.949|0.008 0.479|0.004 0.698|0.005 0.832|0.008 0.568|0.014  0.031 1
106 NGVS J123151.34+123925.2 187.9639128 12.6569877 0.026 19.880|0.001 1.074|0.005 0.535|0.002 0.821|0.003 0.987|0.004 0.783|0.006  0.304 0
107 NGVS J123152.96+115052.9 187.9706653 11.8480245 0.032 20.874|0.002 1.047|0.007 0.567|0.003 0.860|0.004 1.017|0.006 1.532|0.005  0.012 0
108 NGVS J123157.60+124929.6 187.9899987 12.8248810 0.023 20.315|0.001 1.045|0.006 0.498|0.002 0.767|0.003 0.832|0.005 0.601|0.007  0.021 1
109 NGVS J123157.99+131534.1 187.9916397 13.2594794 0.027 19.657|0.001 0.973|0.004 0.535|0.002 0.755|0.003 0.885|0.003 0.572|0.007  0.084 1
110 NGVS J123204.35+122030.3 188.0181367 12.3417639 0.026 19.642|0.001 1.107|0.003 0.566|0.001 0.826|0.002 0.956|0.002 0.862|0.003  0.071 1
111 NGVS J123211.80+113818.6 188.0491434 11.6384938 0.040 19.829|0.001 0.919|0.003 0.441|0.002 0.746|0.002 0.818|0.003 1.234|0.003  0.064 0
112 NGVS J123214.45+120159.0 188.0602008 12.0330727 0.029 20.650|0.002 1.159|0.006 0.571|0.003 0.864|0.003 1.016|0.005 0.932|0.006  0.076 1
113 NGVS J123214.58+120305.3 188.0607390 12.0514896 0.029 19.446|0.001 1.214|0.003 0.562|0.001 0.881|0.002 1.022|0.002 0.974|0.002  0.079 1
114 NGVS J123221.10+121613.4 188.0879280 12.2703999 0.027 20.773|0.002 0.986|0.008 0.442|0.004 0.791|0.005 0.924|0.007 0.677|0.009  0.055 1
115 NGVS J123223.49+115755.0 188.0978941 11.9652688 0.032 20.191|0.001 1.161|0.005 0.667|0.002 0.861|0.003 1.014|0.003 0.954|0.004  0.005 1
116 NGVS J123225.37+121956.8 188.1056843 12.3324523 0.027 20.516|0.002 1.028|0.006 0.513|0.003 0.749|0.004 0.841|0.005 0.660|0.006  0.081 1
117 NGVS J123244.39+113638.1 188.1849358 11.6105850 0.043 21.657|0.003 0.919|0.011 0.510|0.005 0.740|0.007 0.819|0.011 1.126|0.011  0.016 0
118 NGVS J123244.97+120411.6 188.1873822 12.0699039 0.035 21.538|0.003 1.014|0.011 0.495|0.005 0.754|0.006 0.867|0.010 0.727|0.011  0.057 1
119 NGVS J123253.34+120711.5 188.2222540 12.1198664 0.036 21.274|0.003 0.893|0.009 0.466|0.005 0.692|0.006 0.754|0.010 0.992|0.008 -0.004 0
120 NGVS J123256.67+115104.7 188.2361303 11.8512962 0.034 20.193|0.001 0.964|0.004 0.501|0.002 0.736|0.002 0.820|0.003 0.570|0.004  0.015 1
121 NGVS J123313.42+130553.0 188.3059241 13.0980602 0.030 20.929|0.002 0.879|0.007 0.426|0.003 0.704|0.004 0.828|0.006 1.126|0.007  0.026 0
122 NGVS J123319.67+121112.3 188.3319655 12.1867587 0.034 20.027|0.001 0.977|0.005 0.481|0.002 0.673|0.003 0.785|0.004 0.994|0.004  0.134 0
123 NGVS J123329.47+121017.4 188.3727924 12.1715180 0.034 20.567|0.001 1.013|0.005 0.522|0.003 0.764|0.003 0.888|0.004 0.656|0.006  0.076 1
124 NGVS J123346.31+115702.3 188.4429573 11.9506379 0.036 20.996|0.003 1.315|0.009 0.608|0.004 0.961|0.005 1.141|0.006 1.250|0.006 -0.002 1
125 NGVS J123348.68+124647.9 188.4528619 12.7799771 0.031 20.327|0.001 1.081|0.006 0.586|0.002 0.837|0.003 0.996|0.004 0.915|0.006  0.343 0
126 NGVS J123351.52+122346.0 188.4646471 12.3961311 0.032 19.679|0.001 1.176|0.003 0.653|0.002 0.953|0.002 1.100|0.002 1.842|0.002  0.211 0
127 NGVS J123359.60+114730.9 188.4983267 11.7919191 0.040 21.375|0.003 1.005|0.009 0.459|0.005 0.777|0.006 0.888|0.009 0.505|0.015  0.011 1
