STAR170 186.349991 12.050053 18.413 0.001 0.467 0.001 0.699 0.001     84   8
STAR171 186.351471 11.737731 18.613 0.001 0.859 0.002 1.398 0.002     -7  13
STAR172 186.361404 12.064944 18.295 0.001 0.542 0.001 0.791 0.001     33   6
STAR173 186.361572 13.276061 20.043 0.002 0.576 0.003 0.823 0.003     17  10
STAR174 186.368118 12.954473 20.469 0.003 0.580 0.004 0.813 0.004    311  12
STAR175 186.369278 11.545209 20.246 0.004 0.625 0.004 0.944 0.005    187  21
STAR176 186.369720 12.032319 20.361 0.004 0.493 0.004 0.680 0.005    264  26
STAR177 186.371811 12.302606 18.765 0.001 0.494 0.001 0.685 0.002    118  16
STAR178 186.372177 12.646789 17.342 0.000 0.554 0.001 0.795 0.001    -42   6
STAR179 186.372757 13.243983 20.833 0.004 0.551 0.005 0.752 0.005    196  36
STAR180 186.372864 12.809986 20.519 0.003 0.542 0.004 0.754 0.004    200  11
STAR181 186.373917 12.710558 18.564 0.001 0.602 0.001 0.849 0.001     29   7
STAR182 186.375885 12.004666 18.026 0.001 0.664 0.001 0.963 0.001     15   7
STAR183 186.376495 12.039153 19.781 0.003 0.478 0.003 0.710 0.003    180  11
STAR184 186.378189 11.814420 20.487 0.005 0.446 0.004 0.691 0.005    266  19
STAR185 186.379211 11.648694 19.699 0.003 0.540 0.003 0.807 0.003    119  20
STAR186 186.382553 12.194159 20.047 0.003 0.606 0.003 0.922 0.004    242  16
STAR187 186.385681 11.600680 18.266 0.001 0.567 0.001 0.802 0.001     26   5
STAR188 186.388855 13.373125 18.986 0.001 0.585 0.002 0.903 0.001      0  12
STAR189 186.392578 11.599116 17.823 0.001 0.463 0.001 0.866 0.001     -6   6
STAR190 186.392700 13.318081 18.521 0.001 0.704 0.001 1.073 0.001    -61   9
STAR191 186.394958 12.086672 18.105 0.001 0.534 0.001 0.964 0.001     95   9
STAR192 186.397110 12.415727 18.032 0.001 0.416 0.001 0.714 0.001    -92  10
STAR193 186.397797 13.265866 18.164 0.001 0.527 0.001 0.754 0.001     63   6
STAR194 186.401489 12.849633 19.341 0.001 0.576 0.002 0.831 0.002   -177   7
STAR195 186.407303 13.219992 18.346 0.001 0.526 0.001 0.734 0.001     45   8
STAR196 186.408035 12.800867 20.418 0.003 0.532 0.004 0.755 0.004    -25  14
STAR197 186.408951 11.898458 18.405 0.001 0.527 0.001 0.789 0.001    244   9
STAR198 186.413406 12.222992 18.474 0.001 0.664 0.001 0.959 0.002    -29  10
STAR199 186.415237 11.815586 20.484 0.005 0.709 0.005 1.073 0.006     -2  24
STAR200 186.415527 11.878178 19.591 0.002 0.572 0.002 0.853 0.003    123   9
STAR201 186.415604 11.567075 19.780 0.003 0.530 0.003 0.783 0.003     21   9
STAR202 186.416031 11.731227 17.318 0.001 0.675 0.001 1.104 0.001     59   9
STAR203 186.416962 12.000858 19.107 0.002 0.839 0.002 1.393 0.002     90  13
STAR204 186.418594 12.075212 20.025 0.003 0.732 0.004 1.075 0.004    -41  15
STAR205 186.429535 11.837353 18.890 0.002 0.555 0.002 0.822 0.002    104   7
STAR206 186.429672 12.619050 19.081 0.001 0.530 0.002 0.735 0.002     46   6
STAR207 186.433762 11.572728 18.202 0.001 0.535 0.001 0.804 0.001      2   6
STAR208 186.436188 12.875228 20.896 0.004 0.472 0.006 0.720 0.006     49  27
STAR209 186.440521 13.165922 20.391 0.003 0.513 0.004 0.704 0.004     49  12
STAR210 186.441147 12.081928 20.293 0.004 0.747 0.005 1.128 0.005     41  28
STAR211 186.441422 12.432800 17.978 0.001 0.634 0.001 0.919 0.001      2   7
STAR212 186.441956 11.992958 19.152 0.002 0.988 0.003 1.611 0.003    138  16
STAR213 186.443970 11.580645 17.761 0.001 0.683 0.001 1.013 0.001     -2   6
STAR214 186.449509 12.770997 18.525 0.001 0.503 0.001 0.712 0.001   -125  12
STAR215 186.449615 12.408669 19.497 0.002 0.543 0.002 0.780 0.003     13  12
STAR216 186.454041 11.964309 18.079 0.001 0.520 0.001 0.761 0.001    240  10
STAR217 186.455795 12.400753 18.400 0.001 0.631 0.001 0.952 0.001     28   9
STAR218 186.457413 11.552472 18.058 0.001 0.468 0.001 0.698 0.001    122   5
STAR219 186.462357 11.562381 18.990 0.002 0.701 0.002 1.038 0.002     83   9
STAR220 186.464722 13.204425 19.906 0.002 0.467 0.003 0.712 0.003      0  13
STAR221 186.468872 13.433888 19.860 0.002 0.572 0.003 0.871 0.003   -115  10
STAR222 186.471420 13.267108 18.637 0.001 0.484 0.001 0.677 0.001     26   7
STAR223 186.473969 12.103720 20.156 0.004 0.548 0.004 0.823 0.004     82  40
STAR224 186.474579 11.987908 18.461 0.001 0.483 0.001 0.700 0.001     80   7
STAR225 186.477203 13.390833 17.922 0.001 0.599 0.001 0.905 0.001    165  10
STAR226 186.486343 12.235789 18.987 0.002 0.474 0.002 0.863 0.002    103  12
STAR227 186.486557 11.887275 18.971 0.002 0.531 0.002 0.762 0.002     -5   6
STAR228 186.493240 11.566950 20.667 0.005 0.452 0.005 0.703 0.006    217  25
STAR229 186.497177 11.691839 18.949 0.002 0.582 0.002 0.870 0.002     45   6
STAR230 186.499588 11.589817 20.321 0.004 0.431 0.004 0.675 0.005    370  17
STAR231 186.500870 12.918661 17.941 0.001 0.538 0.001 0.740 0.001     54   4
STAR232 186.501862 13.207319 20.436 0.003 0.966 0.006 1.568 0.005     63  22
STAR233 186.507782 12.183558 17.738 0.001 0.812 0.001 1.376 0.001     29  11
STAR234 186.512604 12.215536 20.128 0.004 0.531 0.003 0.778 0.004     31  14
STAR235 186.516235 12.418917 20.577 0.005 0.499 0.005 0.780 0.006    230  47
STAR236 186.522308 12.036170 20.756 0.006 0.403 0.006 0.755 0.007     64  28
STAR237 186.523972 13.329741 19.751 0.002 0.678 0.003 0.991 0.003      8  15
STAR238 186.524368 12.131914 20.773 0.006 0.522 0.005 0.717 0.007    221  31
STAR239 186.526123 12.059381 20.499 0.005 0.458 0.004 0.732 0.006    274  14
STAR240 186.529236 11.935994 18.564 0.001 0.563 0.001 0.822 0.002    103   6
STAR241 186.529358 11.919784 17.388 0.001 0.624 0.001 1.033 0.001     30   7
STAR242 186.531830 12.131020 19.262 0.002 0.647 0.002 0.927 0.002     27   8
STAR243 186.533600 11.952333 17.750 0.001 0.618 0.001 0.910 0.001      7   8
STAR244 186.536606 11.603036 18.768 0.001 0.522 0.001 0.746 0.002     35   9
STAR245 186.538925 11.714861 20.712 0.006 0.655 0.006 0.950 0.007    256  19
STAR246 186.551132 12.326089 19.270 0.002 0.480 0.002 0.693 0.002     34  10
STAR247 186.552322 11.924225 19.932 0.003 0.488 0.003 0.729 0.004    207  14
STAR248 186.553757 11.674922 18.353 0.001 0.538 0.001 0.794 0.001     43   6
STAR249 186.555038 11.627781 19.318 0.002 0.457 0.002 0.680 0.002    205  10
STAR250 186.555527 12.277825 19.954 0.003 0.529 0.003 0.699 0.004    150  15
STAR251 186.566467 12.695561 18.342 0.001 0.634 0.001 1.110 0.001    -45  10
