gaia_dr3_id,gaia_ra,gaia_dec,layer,pixel_scale_arcsec,width_pixels,height_pixels,url,content_type,byte_count,file_path,sha256
3907715834659663872,187.760770233062,12.570574091439,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.760770233062&dec=12.570574091439&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7085,data/literature/validation/gaia_image_cutouts/3907715834659663872_ls-dr10.jpg,2d9748fec485e6d740eeff1732e097f698028e0ecb7c3e8d77d2006e8f165733
3907715834659663872,187.760770233062,12.570574091439,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.760770233062&dec=12.570574091439&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1830,data/literature/validation/gaia_image_cutouts/3907715834659663872_ls-dr10-model.jpg,2d067c0fce54c2ee790a812db786b879a2135dc1fd2b6bf4c81a1e823c30e3dd
3907715834659663872,187.760770233062,12.570574091439,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.760770233062&dec=12.570574091439&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6988,data/literature/validation/gaia_image_cutouts/3907715834659663872_ls-dr10-resid.jpg,13204e99a1c87a5da87a80098ad6b5ff17da8b15c455a7d2c34b77d89402057e
3907716109537532032,187.697464797282,12.550456242561,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.697464797282&dec=12.550456242561&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,6885,data/literature/validation/gaia_image_cutouts/3907716109537532032_ls-dr10.jpg,67fa5461f9f0fe7241941ec5381967e97e8094d81bb0d04db09de9a9b35dca8b
3907716109537532032,187.697464797282,12.550456242561,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.697464797282&dec=12.550456242561&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1666,data/literature/validation/gaia_image_cutouts/3907716109537532032_ls-dr10-model.jpg,d5d3a6fe7a680f5da360a2693082aeb7f6e6dc0f8376a7987fd534b8d77e06b8
3907716109537532032,187.697464797282,12.550456242561,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.697464797282&dec=12.550456242561&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,6812,data/literature/validation/gaia_image_cutouts/3907716109537532032_ls-dr10-resid.jpg,c66663c513ccc6a84b94f03cc7c28faa1e11098d8a546293f2b26fe11263e762
3907902373679428096,187.595697314089,12.530206638703,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.595697314089&dec=12.530206638703&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,7660,data/literature/validation/gaia_image_cutouts/3907902373679428096_ls-dr10.jpg,3a74926e5e65aabf47b8be1ef3d2094424ba7dd7941855ed740efee099e88ee9
3907902373679428096,187.595697314089,12.530206638703,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.595697314089&dec=12.530206638703&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,2257,data/literature/validation/gaia_image_cutouts/3907902373679428096_ls-dr10-model.jpg,ea33980cdc9458a71e07d27608732bb8fbcfecc54345465f947d3c9cd9555770
3907902373679428096,187.595697314089,12.530206638703,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.595697314089&dec=12.530206638703&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,7492,data/literature/validation/gaia_image_cutouts/3907902373679428096_ls-dr10-resid.jpg,77877a7ee6581439a619b4e759b7e24b044e06691c9fa724c73b7c241a1b7daf
3907906320753259008,187.468358499364,12.584459785013,ls-dr10,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.468358499364&dec=12.584459785013&pixscale=0.262&width=128&height=128&layer=ls-dr10,image/jpeg,5778,data/literature/validation/gaia_image_cutouts/3907906320753259008_ls-dr10.jpg,b7a023318994ab1a9551c4f18e495ed7ac17c4403a4896f8e0d806a3d83faefa
3907906320753259008,187.468358499364,12.584459785013,ls-dr10-model,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.468358499364&dec=12.584459785013&pixscale=0.262&width=128&height=128&layer=ls-dr10-model,image/jpeg,1829,data/literature/validation/gaia_image_cutouts/3907906320753259008_ls-dr10-model.jpg,45c57dc0f76dd1276db446cb97c8388f022ede473792679a15951dae72e9c6d4
3907906320753259008,187.468358499364,12.584459785013,ls-dr10-resid,0.262,128,128,https://www.legacysurvey.org/viewer/jpeg-cutout?ra=187.468358499364&dec=12.584459785013&pixscale=0.262&width=128&height=128&layer=ls-dr10-resid,image/jpeg,5636,data/literature/validation/gaia_image_cutouts/3907906320753259008_ls-dr10-resid.jpg,9f671d2cc7fd9a9fb147f903b040442976b3febb7a7d622602aaeda7252ac808
