object_id,name,ra,dec,g_mag,r_mag,re_pc,status
2021MNRA_0140,,54.628245,-35.66573,21.54,20.77,32.3,candidate
2021MNRA_0141,,54.606438,-35.268217,21.55,20.95,10.2,candidate
2021MNRA_0142,,54.590869,-35.489825,21.55,20.76,21.3,candidate
2021MNRA_0143,,54.664785,-35.487779,21.55,20.98,34.3,candidate
2021MNRA_0144,,54.735659,-35.47458,21.56,20.87,22.5,candidate
2021MNRA_0145,,54.737834,-35.475976,21.57,21.06,30.1,candidate
2021MNRA_0146,,54.519393,-35.502283,21.57,20.83,30.7,candidate
2021MNRA_0147,,54.47261,-35.437788,21.58,20.95,22.2,candidate
2021MNRA_0148,,54.663978,-35.479987,21.58,20.85,15.4,candidate
2021MNRA_0149,,54.680979,-35.46846,21.58,21.1,23.7,candidate
2021MNRA_0150,,54.81595,-35.582233,21.58,20.94,22.8,candidate
2021MNRA_0151,,54.486824,-35.530757,21.59,20.94,42.2,candidate
2021MNRA_0152,,54.486824,-35.530757,21.59,20.94,42.2,candidate
2021MNRA_0153,,54.150458,-35.310701,21.59,20.95,19.7,candidate
2021MNRA_0154,,54.635342,-35.286895,21.59,20.88,17.6,candidate
2021MNRA_0155,,54.725145,-35.532701,21.6,20.83,20.2,candidate
2021MNRA_0156,,54.338785,-35.46476,21.62,20.8,26.8,candidate
2021MNRA_0157,,54.670909,-35.378308,21.62,20.9,30.0,candidate
2021MNRA_0158,,54.681337,-35.552229,21.62,20.92,28.0,candidate
2021MNRA_0159,,54.7542,-35.10984,21.62,21.07,22.9,candidate
2021MNRA_0160,,54.554573,-35.518665,21.63,20.78,31.6,candidate
2021MNRA_0161,,54.597005,-35.442501,21.64,20.93,15.0,candidate
2021MNRA_0162,,54.661575,-35.431912,21.65,20.8,23.4,candidate
2021MNRA_0163,,54.625677,-35.47999,21.67,20.93,19.4,candidate
2021MNRA_0164,,54.320507,-35.327944,21.67,21.09,29.1,candidate
2021MNRA_0165,,54.664402,-35.474258,21.67,20.92,52.5,candidate
2021MNRA_0166,,54.445919,-35.463368,21.67,20.93,14.5,candidate
2021MNRA_0167,,54.693153,-35.286805,21.67,21.09,30.5,candidate
2021MNRA_0168,,54.045148,-35.406122,21.68,21.03,64.4,candidate
2021MNRA_0169,,54.788223,-35.582781,21.68,20.9,54.1,candidate
2021MNRA_0170,,54.497595,-35.602573,21.69,20.93,39.1,candidate
2021MNRA_0171,,54.700582,-35.466139,21.69,20.98,20.8,candidate
2021MNRA_0172,,54.585154,-35.491109,21.69,20.99,21.4,candidate
2021MNRA_0173,,55.161762,-35.57858,21.69,21.14,20.5,candidate
2021MNRA_0174,,54.693401,-35.623084,21.69,20.97,22.5,candidate
2021MNRA_0175,,54.75889,-35.626638,21.69,21.06,26.9,candidate
2021MNRA_0176,,54.337997,-35.54922,21.69,20.94,23.1,candidate
2021MNRA_0177,,55.33543,-35.214867,21.69,21.12,29.7,candidate
2021MNRA_0178,,54.852801,-35.088243,21.7,21.11,27.0,candidate
2021MNRA_0179,,54.436281,-35.321794,21.7,21.11,18.5,candidate
2021MNRA_0180,,54.674662,-35.496827,21.71,21.15,21.8,candidate
2021MNRA_0181,,54.561301,-35.532983,21.71,20.8,22.2,candidate
2021MNRA_0182,,55.010507,-35.613458,21.72,21.04,33.6,candidate
2021MNRA_0183,,54.56151,-35.556839,21.72,20.83,34.1,candidate
2021MNRA_0184,,54.56151,-35.556839,21.72,20.83,34.1,candidate
2021MNRA_0185,,54.203447,-35.379528,21.72,21.01,14.6,candidate
2021MNRA_0186,,55.003,-35.69955,21.72,21.02,23.7,candidate
2021MNRA_0187,,54.556461,-35.48224,21.73,20.91,20.3,candidate
2021MNRA_0188,,54.368609,-35.142656,21.73,21.18,15.5,candidate
2021MNRA_0189,,54.366628,-35.542289,21.73,21.13,28.4,candidate
2021MNRA_0190,,54.766089,-35.407936,21.73,21.01,19.9,candidate
2021MNRA_0191,,54.703782,-35.468016,21.73,21.12,19.0,candidate
2021MNRA_0192,,54.623053,-35.418937,21.74,20.91,17.7,candidate
2021MNRA_0193,,55.074289,-35.398122,21.74,21.16,24.8,candidate
2021MNRA_0194,,54.914204,-35.616194,21.74,21.06,42.2,candidate
2021MNRA_0195,,54.384752,-35.242837,21.74,21.2,23.5,candidate
2021MNRA_0196,,54.546691,-35.49224,21.75,20.97,20.8,candidate
2021MNRA_0197,,54.618499,-35.47255,21.77,21.14,18.9,candidate
2021MNRA_0198,,54.444984,-35.65651,21.77,21.02,15.6,candidate
2021MNRA_0199,,55.206584,-35.546222,21.77,21.03,16.6,candidate
2021MNRA_0200,,54.66061,-35.464405,21.78,21.12,20.8,candidate
2021MNRA_0201,,54.549997,-35.533577,21.78,21.01,30.9,candidate
2021MNRA_0202,,54.63731,-35.483708,21.78,21.31,16.5,candidate
2021MNRA_0203,,54.089206,-35.070974,21.78,21.08,32.0,candidate
2021MNRA_0204,,54.667765,-35.359182,21.78,21.1,18.8,candidate
2021MNRA_0205,,54.811205,-35.346292,21.79,21.26,42.4,candidate
2021MNRA_0206,,54.316887,-35.389144,21.79,21.26,17.2,candidate
2021MNRA_0207,,54.316887,-35.389144,21.79,21.26,17.2,candidate
2021MNRA_0208,,55.097123,-35.642208,21.79,21.25,23.4,candidate
2021MNRA_0209,,54.512534,-35.44131,21.8,21.15,26.7,candidate
2021MNRA_0210,,54.752893,-35.508955,21.8,21.37,28.7,candidate
2021MNRA_0211,,54.67431,-35.433502,21.8,20.97,54.0,candidate
2021MNRA_0212,,54.78084,-35.418385,21.81,21.28,17.1,candidate
2021MNRA_0213,,54.564806,-35.534331,21.81,20.97,38.3,candidate
2021MNRA_0214,,54.66837,-35.479851,21.81,21.07,23.0,candidate
2021MNRA_0215,,55.023989,-35.741078,21.81,21.18,14.9,candidate
2021MNRA_0216,,54.576618,-35.431255,21.81,21.05,29.5,candidate
2021MNRA_0217,,54.813811,-35.19035,21.82,21.29,31.8,candidate
2021MNRA_0218,,54.609382,-35.423856,21.83,20.95,19.6,candidate
2021MNRA_0219,,54.940895,-35.296132,21.83,21.14,29.3,candidate
2021MNRA_0220,,54.635103,-35.629785,21.83,21.24,22.6,candidate
2021MNRA_0221,,54.703249,-35.365509,21.83,21.29,24.0,candidate
2021MNRA_0222,,54.727994,-35.504463,21.84,21.27,32.2,candidate
2021MNRA_0223,,54.488149,-35.413011,21.84,21.16,17.4,candidate
2021MNRA_0224,,54.488149,-35.413011,21.84,21.16,17.4,candidate
2021MNRA_0225,,54.642043,-35.564984,21.84,21.28,25.8,candidate
2021MNRA_0226,,54.642043,-35.564984,21.84,21.28,25.8,candidate
2021MNRA_0227,,54.649602,-35.326995,21.85,21.19,23.2,candidate
2021MNRA_0228,,54.709979,-35.368797,21.85,21.06,34.0,candidate
2021MNRA_0229,,54.538118,-35.637191,21.85,21.04,42.3,candidate
2021MNRA_0230,,54.503797,-35.440099,21.86,21.19,28.3,candidate
2021MNRA_0231,,54.503797,-35.440099,21.86,21.19,28.3,candidate
2021MNRA_0232,,55.004041,-35.576483,21.86,21.12,31.5,candidate
2021MNRA_0233,,54.699567,-35.574167,21.86,21.15,18.2,candidate
2021MNRA_0234,,54.641849,-35.602347,21.86,21.27,34.1,candidate
2021MNRA_0235,,54.655057,-35.470261,21.86,21.12,17.3,candidate
2021MNRA_0236,,54.587483,-35.503576,21.86,21.13,31.2,candidate
2021MNRA_0237,,54.568743,-35.518791,21.87,21.17,27.3,candidate
2021MNRA_0238,,54.613999,-35.427024,21.87,21.25,30.5,candidate
2021MNRA_0239,,54.494734,-35.49228,21.87,21.18,38.6,candidate
2021MNRA_0240,,55.125843,-35.506471,21.87,21.29,28.3,candidate
2021MNRA_0241,,54.646401,-35.651573,21.87,21.27,32.0,candidate
2021MNRA_0242,,54.662359,-35.548928,21.87,21.29,36.7,candidate
2021MNRA_0243,,54.686984,-35.625246,21.88,21.17,24.8,candidate
2021MNRA_0244,,54.4981,-35.607014,21.88,21.18,36.8,candidate
2021MNRA_0245,,54.524632,-35.588942,21.88,21.25,36.7,candidate
2021MNRA_0246,,54.659309,-35.510792,21.89,21.25,14.1,candidate
2021MNRA_0247,,54.537499,-35.63759,21.89,21.21,69.8,candidate
2021MNRA_0248,,54.677248,-35.694688,21.89,21.15,23.2,candidate
2021MNRA_0249,,54.523025,-35.2381,21.89,21.35,26.5,candidate
2021MNRA_0250,,54.647894,-35.424833,21.9,21.09,17.3,candidate
2021MNRA_0251,,54.579685,-35.357485,21.9,21.27,28.1,candidate
2021MNRA_0252,,54.715001,-35.602934,21.9,21.14,71.5,candidate
2021MNRA_0253,,54.569421,-35.493091,21.9,21.18,29.3,candidate
2021MNRA_0254,,54.38766,-35.494749,21.91,21.24,15.6,candidate
2021MNRA_0255,,54.434153,-35.449247,21.91,21.25,21.2,candidate
2021MNRA_0256,,54.660975,-35.407447,21.91,21.37,28.3,candidate
2021MNRA_0257,,54.409897,-35.314001,21.92,21.42,24.9,candidate
2021MNRA_0258,,54.666007,-35.460438,21.92,21.36,18.9,candidate
2021MNRA_0259,,54.742242,-35.59022,21.92,21.12,28.1,candidate
2021MNRA_0260,,55.191525,-35.24766,21.92,21.28,28.4,candidate
2021MNRA_0261,,54.529424,-35.407928,21.93,21.01,25.0,candidate
2021MNRA_0262,,54.529424,-35.407928,21.93,21.01,25.0,candidate
2021MNRA_0263,,54.251396,-35.520581,21.93,21.09,27.8,candidate
2021MNRA_0264,,54.555853,-35.627191,21.93,21.14,24.6,candidate
2021MNRA_0265,,54.511844,-35.416036,21.93,21.3,18.6,candidate
2021MNRA_0266,,54.588919,-35.409955,21.93,21.18,15.4,candidate
2021MNRA_0267,,54.300196,-35.16529,21.93,21.22,27.9,candidate
2021MNRA_0268,,54.704332,-35.651387,21.93,21.25,24.5,candidate
2021MNRA_0269,,54.564917,-35.294925,21.94,21.25,26.7,candidate
2021MNRA_0270,,54.688203,-35.431404,21.94,21.24,33.2,candidate
2021MNRA_0271,,54.304686,-35.511437,21.94,21.25,24.5,candidate
2021MNRA_0272,,54.929565,-35.552864,21.94,21.34,32.6,candidate
2021MNRA_0273,,54.265312,-35.652887,21.95,21.36,14.2,candidate
2021MNRA_0274,,54.557943,-35.431188,21.95,21.25,29.0,candidate
2021MNRA_0275,,53.960332,-35.256689,21.96,21.38,28.2,candidate
2021MNRA_0276,,54.35941,-35.684909,21.96,21.33,14.8,candidate
2021MNRA_0277,,54.593448,-35.442465,21.96,21.27,23.7,candidate
2021MNRA_0278,,54.598213,-35.392375,21.97,21.29,25.2,candidate
2021MNRA_0279,,54.649095,-35.426101,21.97,21.33,11.4,candidate
2021MNRA_0280,,54.659504,-35.633466,21.97,21.41,28.3,candidate
2021MNRA_0281,,54.648534,-35.334894,21.98,21.4,19.7,candidate
