KV19,ra,dec,gaia_dr3_id,gaia_aen,g_mag,gaia_bp_rp,u-r,r-z,rmag,Votes,CL,Rank,MIKE,is_ucd,confirmation_status,distance_mpc
KV19-142,200.185756662,-44.9366982825,1,1.94,18.13,1.63,2.82,0.31,17.45,4.0,0.0,E,,1,candidate,3.8
KV19-143,200.186735317,-41.0173931841,1,9.61,18.7,3.96,,,,4.0,,E,,1,candidate,3.8
KV19-144,200.193870706,-44.8144970535,1,13.95,18.97,4.8,,,,,,D,,1,candidate,3.8
KV19-145,200.199235476,-41.0068471061,1,7.67,18.35,3.57,2.14,0.45,16.74,4.0,3.81,E,,1,candidate,3.8
KV19-146,200.202665012,-43.6792272123,1,2.41,15.05,1.94,,,,4.0,,E,,1,candidate,3.8
KV19-147,200.205295171,-41.3284643328,1,2.63,16.76,1.6,1.3,-0.05,15.82,3.0,0.08,D,,1,candidate,3.8
KV19-148,200.20787624,-44.4294364253,1,12.2,18.26,3.85,,,,4.0,,E,,1,candidate,3.8
KV19-149,200.212231944,-44.7989036215,1,10.56,18.86,3.94,,,,,,D,,1,candidate,3.8
KV19-150,200.22337938,-43.9999207694,1,7.63,17.34,1.57,2.92,0.23,16.41,1.5,0.0,D,,1,candidate,3.8
KV19-151,200.22825793,-41.089238303,1,9.6,18.83,3.94,2.24,0.46,17.07,4.0,3.95,E,,1,candidate,3.8
KV19-152,200.243224429,-42.9877810002,1,3.58,18.7,2.79,1.15,-0.23,17.09,3.5,0.0,E,,1,candidate,3.8
KV19-153,200.243498135,-42.9877587635,1,7.16,18.45,2.22,1.15,-0.23,17.09,3.5,0.0,E,,1,candidate,3.8
KV19-154,200.245369264,-44.8101465119,1,7.84,18.17,3.97,,,,,,D,,1,candidate,3.8
KV19-155,200.26073503,-44.6246602535,1,4.71,17.63,1.91,2.35,0.2,16.71,3.5,0.01,E,,1,candidate,3.8
KV19-156,200.261986363,-41.1563014833,1,7.23,18.34,1.78,1.24,-0.07,17.31,2.75,0.05,D,,1,candidate,3.8
KV19-157,200.263367028,-44.3658579929,1,14.36,18.38,3.36,,,,4.0,,E,,1,candidate,3.8
KV19-158,200.269263815,-44.0156272593,1,5.33,18.01,1.74,1.56,0.05,17.09,3.5,0.36,C,,1,candidate,3.8
KV19-159,200.274699567,-45.1003060444,1,2.9,16.33,1.72,,,,2.5,,C,,1,candidate,3.8
KV19-160,200.292093959,-43.0630107021,1,6.16,16.07,2.35,,,,3.25,,D,,1,candidate,3.8
KV19-161,200.304929557,-43.3911515207,1,4.44,18.31,2.18,1.08,-0.12,16.93,3.25,0.03,E,,1,candidate,3.8
KV19-162,200.309778046,-44.3088064559,1,4.66,16.89,1.99,,,,2.5,,C,,1,candidate,3.8
KV19-163,200.337837529,-41.8045779075,1,6.81,18.66,2.85,2.01,0.3,17.22,4.0,4.3,E,,1,candidate,3.8
KV19-164,200.341521789,-44.1779967152,2,3.5,18.65,1.78,0.99,-0.05,17.8,2.0,0.11,C,,1,candidate,3.8
KV19-165,200.342190575,-42.1642677395,1,12.47,18.34,4.04,2.23,0.46,16.57,,4.05,B,,1,candidate,3.8
KV19-166,200.382692976,-42.3142326447,1,13.65,18.35,4.69,,,,4.0,,E,,1,candidate,3.8
KV19-167,200.39507832,-42.0174379411,1,9.06,18.34,1.78,1.46,-0.07,17.24,2.25,0.01,D,,1,candidate,3.8
KV19-168,200.397829329,-41.7122998782,1,7.53,18.64,4.53,,,,4.0,,E,,1,candidate,3.8
KV19-169,200.406719822,-43.5639209292,1,2.11,16.75,1.62,,,,4.0,,E,,1,candidate,3.8
KV19-170,200.407078824,-43.2197869466,1,8.73,18.25,4.2,,,,4.0,,E,,1,candidate,3.8
KV19-171,200.407816917,-42.5062224794,1,4.04,15.7,1.43,1.29,-0.28,14.49,2.5,0.0,D,,1,candidate,3.8
KV19-172,200.418077806,-45.0906019569,1,3.05,17.31,1.62,,,,4.0,,E,,1,candidate,3.8
KV19-173,200.421414382,-40.9477606303,1,6.46,17.01,1.52,2.91,0.28,16.09,1.5,0.0,D,,1,candidate,3.8
KV19-174,200.446484808,-45.1271762433,1,3.05,17.44,1.55,,,,2.0,,C,,1,candidate,3.8
