J124524.02+110535.2 M60             12 45 24.02 +11 05 35.16    0.0 -11.95 180.3 11.07  2
J124531.21+112357.2 M60             12 45 31.21 +11 23 57.20    0.0 -10.97 138.1 11.14  2
J124539.33+104808.1 M60             12 45 39.33 +10 48 08.10    0.0 -11.37 257.8 13.80  2
NGC 3923 UCD1       NGC 3923        11 51 04.10 -28 48 19.80 2096.9 -12.43   3.1 12.30  4
NGC 3923 UCD2       NGC 3923        11 50 55.90 -28 48 18.40 1500.5 -11.93   8.0 13.00  4
NGC 3923 UCD3c      NGC 3923        11 51 05.20 -28 48 58.90    0.0 -11.29   6.0 14.09  4
NGC 4546 UCD1       NGC 4546        12 35 28.70 -03 47 21.10 1255.9 -12.94   1.2 25.53  4
Sombrero UCD1       Sombrero        12 40 03.10 -11 40 04.30 1293.1 -12.31   7.4 14.69  4
W3 in NGC 7252      NGC 7252                                 4822.5 -16.20   0.0 17.50  5
GC-2                M81             09 52 20.17 +69 39 16.31    0.0   0.00   0.0  0.00  6
Dorado3             NGC 1553/1549   04 13 16.91 -55 46 36.00 1142.0 -10.72   0.0  0.00  7
Dorado1             NGC 1553/1549   04 16 24.55 -56 37 19.70  585.0 -11.22   0.0  0.00  7
Dorado2             NGC 1553/1549   04 16 50.79 -55 53 03.00  638.0 -11.02   0.0  0.00  7
NGC 1400_1          NGC 1400/1407   03 42 32.46 -18 23 00.10  477.0 -11.56   0.0  0.00  7
NGC1400_2           NGC 1400/1407   03 41 54.81 -18 08 37.80  652.0 -11.96   0.0  0.00  7
J1250.02-4121.45    NGC 4709        12 50 01.23 -41 21 26.83 4835.0 -12.22  20.5  0.00  8
J1248.54-4119.64    NGC 4696        12 48 32.64 -41 19 38.20 3854.0 -12.20  43.1  0.00  8
J1248.79-4117.15    NGC 4696        12 48 47.61 -41 17 09.12 2882.0 -12.18  20.2  6.12  8
J1248.06-4111.40    NGC 4696        12 48 03.76 -41 11 24.30 2768.0 -12.13 147.6  0.00  8
J1248.54-4121.90    NGC 4696        12 48 32.48 -41 21 54.07 3279.0 -12.06  59.6  0.00  8
J1248.70-4121.11    NGC 4696        12 48 41.75 -41 21 06.76 2521.0 -11.71  37.4  0.00  8
J1250.11-4114.59    NGC 4709        12 50 06.57 -41 14 35.28 4430.0 -11.71 110.0  0.00  8
J1249.71-4120.63    NGC 4709        12 49 42.63 -41 20 38.04 5184.0 -11.69  60.5  0.00  8
J1248.79-4116.00    NGC 4696        12 48 47.69 -41 16 00.11 3140.0 -11.53  35.1  0.00  8
J1248.74-4118.58    NGC 4696        12 48 44.70 -41 18 35.03 2189.0 -11.52  11.3 29.49  8
J1248.76-4118.70    NGC 4696        12 48 45.56 -41 18 42.21 2828.0 -11.51   9.2  4.36  8
J1248.74-4119.74    NGC 4696        12 48 44.33 -41 19 44.37 3138.0 -11.49  18.8  7.02  8
J1250.03-4122.68    NGC 4709        12 50 01.77 -41 22 40.60 4538.0 -11.44   6.1  6.18  8
J1248.63-4115.71    NGC 4696        12 48 37.77 -41 15 42.37 2524.0 -11.41  48.1  0.00  8
