bibcode,year,title,first_author,doi,has_ads_data_property,category,priority,decision,reason,data_access_status
2025ApJ...993...84H,2025,The Interstellar Medium in I Zw 18 Seen with JWST/MIRI. II. Warm Molecular Hydrogen and Warm Dust,"Hunt, L. K.",10.3847/1538-4357/ae0191,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...994...96D,2025,Mass Stratification in the Globular Cluster System Revealing the Assembly History of the Nearest S0 Galaxy NGC 3115,"Dou, Haoran",10.3847/1538-4357/ae0cc0,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJ...995..178P,2025,Different Origins of Nucleated and Nonnucleated Dwarf Elliptical Galaxies: Identified by Deep Learning,"Paudel, Sanjaya",10.3847/1538-4357/ae2097,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025ApJS..281...66C,2025,H I-detected Dwarf Galaxies in the FASHI Survey: Insights from Single- and Double-peaked Emission-line Samples,"Cheng, Cheng",10.3847/1538-4365/ae1690,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025IAUS..384....1S,2025,Planetary Nebulae as Probes of Kinematics and Abundances to Trace Galaxy Evolution,"Stanghellini, Letizia",10.1017/S1743921324000073,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025JKAS...58...93C,2025,SDSS J134313.15+364457.5: Forming Compact Elliptical through the Merger,"Nidhi Chhatkuli, Daya",10.5303/JKAS.2025.58.1.93,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025MNRAS.540.1235C,2025,A two-phase model of galaxy formation: III. The formation of globular clusters,"Chen, Yangyao",10.1093/mnras/staf791,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025PASA...42...68G,2025,Dot to dot: High-z little red dots in <inline-formula> <tex-math> M_\mathrm{ bh} </tex-math> </inline-formula>─<inline-formula> <tex-math> M_\mathrm{ \star} </tex-math> </inline-formula> diagrams with galaxy-morphology-specific scaling relations,"Graham, Alister W.",10.1017/pasa.2025.10035,0,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025PASA...42..109S,2025,Radial velocities and stellar populations for a sample of MATLAS survey dwarfs,"Southon, Kate",10.1017/pasa.2025.10072,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025PhRvD.112f3008Z,2025,Diversity and universality: Evolution of dwarf galaxies with self-interacting dark matter,"Zeng, Zhichao Carton",10.1103/x9t4-3zy7,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2025arXiv250206981S,2025,WilloWISPs: A New Dark Growth Channel for Black Holes Suggests a Full-Spectrum Hierarchical MACHO Mass Function for Dark Matter,"Smith, Zachary R.",10.48550/arXiv.2502.06981,0,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026A&A...705A.117M,2026,Looking into the faintEst WIth MUSE (LEWIS): Exploring the nature of ultra-diffuse galaxies in the Hydra-I cluster: IV. A study of the globular cluster population in four ultra-diffuse galaxies,"Mirabile, Marco",10.1051/0004-6361/202556180,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026A&A...706L...6Z,2026,First direct electron temperature measurement in [O II] zone in I Zw 18,"Zinchenko, I. A.",10.1051/0004-6361/202558046,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026A&A...707A.356C,2026,X-ray stellar feedback in low-metallicity starbursts: Insights from the template starburst galaxy ESO 338-IG04 and its halo,"Chatzis, M.",10.1051/0004-6361/202557428,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026A&A...708A.117M,2026,16 new quasars at the end of the reionization unveiled by self-supervised learning,"Martínez-Ramírez, L. N.",10.1051/0004-6361/202557039,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026A&A...708A.172M,2026,A pearl in the shell: An ultra-compact dwarf within the tidal debris surrounding spiral galaxy NGC 7531,"Martínez-Delgado, David",10.1051/0004-6361/202557294,1,nearby_reference_data,high,retrieve_data,Spectroscopically associated UCD around NGC 7531,not_in_vizier_as_of_2026-07-14
2026A&A...711A..37E,2026,Euclid: Quick Data Release (Q1) ─ A photometric search for ultracool dwarfs in the Euclid Deep Fields,Euclid Collaboration,10.1051/0004-6361/202556980,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026AJ....171..104L,2026,Discovery of a Double-core Dwarf Galaxy in a Major Wet Merger: MCG+08-16-005,"Lee, Youngdae",10.3847/1538-3881/ae2c5b,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026AJ....171..108K,2026,A Search for Late-type Brown Dwarfs in the Euclid Quick Data Release 1,"Kiwy, Frank",10.3847/1538-3881/ae2fb7,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026AJ....171..199B,2026,High-resolution Observations of CO(3─2) in Haro 2: Cool Molecular Outflows of a Lyα Emitter,"Beck, Sara",10.3847/1538-3881/ae4516,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ...997..285Z,2026,Radio Counterparts of Ultraluminous X-Ray Sources in Nearby Galaxies,"Zhang, Yijia",10.3847/1538-4357/ae31e4,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ...998..213S,2026,Wind-fed Supermassive Black Hole Accretion in the Ultracompact Dwarf Galaxy M60-UCD1,"Su, Zhao",10.3847/1538-4357/ae394c,1,pending_object_data_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ...998L..45D,2026,JWST/MIRI-MRS View of the Metal-poor Galaxy CGCG 007-025: The Spatial Location of Polycyclic Aromatic Hydrocarbons and Very Highly Ionized Gas,"del Valle-Espinosa, Macarena G.",10.3847/2041-8213/ae43ed,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ..1001..218P,2026,When Stars Mimic Monsters: Spectral Evidence for an η Carinae−like Giant Eruption in SBS 0335−052 E,"Peng, Zixuan",10.3847/1538-4357/ae589b,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ..1001L..14T,2026,JWST Observations of the Double Nucleus in NGC 4486B: Possible Evidence for a Recent Binary SMBH Merger and Recoil,"Tahmasebzadeh, Behzad",10.3847/2041-8213/ae52ef,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ..1002..211P,2026,Evidence for Environmental Stripping in the Coma Cluster,"Pomeroy, Richard T.",10.3847/1538-4357/ae6115,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ..1004..210K,2026,A Third Galaxy Missing Dark Matter along a Trail of Galaxies in the NGC 1052 Field,"Keim, Michael A.",10.3847/1538-4357/ae6b8d,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
2026ApJ..1004..214H,2026,Searching for Ultracool Dwarfs in Early LSST Data Products,"Honaker, Easton J.",10.3847/1538-4357/ae6ce9,1,pending_context_screening,unreviewed,pending_screening,Manual screening required,not_checked
