canonical_object_id,target_ra,target_dec,classification_state,classification_subtype,query_radius_arcsec,association_method,source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,ipd_frac_multi_peak,ipd_frac_odd_win,duplicated_source,gaia_dr3_id,dist_arcsec,within_query_radius,match_quality,match_status
canonical_06e6b38cc1da56b199717e7673ccb48b,201.115837016,-40.7496420578,candidate,,1.0,canonical_literature_gaia_dr3_id,6137252049712630016,201.11583569707537,-40.749641991731565,18.065250396728516,17.749372482299805,16.711803436279297,0.8696098924910962,0.5020639896392822,-2.852927326022197,0.3106650114059448,0.4975124467410925,0.42740800976753235,1.0507769584655762,6.94805908203125,1.5432679653167725,74,23,0,6137252049712630016,0.003604890358749038,True,within_radius,matched_by_source_id
canonical_079e1b7284155f4f91eefacc53ec757f,54.092647,-35.609463,confirmed,,1.0,canonical_literature_gaia_dr3_id,4860335182866880768,54.09271325574481,-35.60947120628781,21.250850677490234,20.272024154663086,19.214563369750977,,,,,,,26.173816680908203,193.52789306640625,,0,0,0,4860335182866880768,0.19615584170616582,True,within_radius,matched_by_source_id
canonical_07aabc9dd1c85e7a8dc3f7f7c3c0e259,55.63525,-18.38336111111111,confirmed,,1.0,canonical_literature_gaia_dr3_id,5107392559411455616,55.63522154093525,-18.383487415067744,19.571090698242188,19.94352149963379,19.127092361450195,0.2322618817653434,0.33518698811531067,3.331821921040712,0.3658129870891571,-3.4489604108872136,0.24111799895763397,0.0,0.0,0.9967349767684937,0,0,0,5107392559411455616,0.46497247232409855,True,within_radius,matched_by_source_id
canonical_07e315c01fcc5611b3dec52d19393f02,54.115401,-35.237195,confirmed,,1.0,canonical_literature_gaia_dr3_id,4860361605506084992,54.11540429460201,-35.23720178932182,20.185651779174805,19.96934700012207,18.515045166015625,-0.5325324133203064,0.7976809740066528,1.0462118556871987,0.619625985622406,0.0847397953916477,0.9139750003814697,5.200046062469482,106.43565368652344,4.997539043426514,0,0,0,4860361605506084992,0.026291343703790035,True,within_radius,matched_by_source_id
canonical_07eca78331e65c9f9afa42d2501a02fb,198.539680319,-42.4961173937,candidate,,1.0,canonical_literature_gaia_dr3_id,6137425532031468160,198.5396808931062,-42.49611747584865,19.532140731811523,18.23880386352539,16.783594131469727,2.5695797233275965,0.7700030207633972,-0.2639940365650874,0.7729259729385376,-0.0967907852423948,0.6513929963111877,5.509932041168213,29.92531967163086,1.873721957206726,0,0,0,6137425532031468160,0.0015523172784280223,True,within_radius,matched_by_source_id
canonical_081aa023af9c5df5899d55f1b9ddd62c,187.97054166666666,12.266527777777778,uncertain,reported_ucd_role_conflict,1.0,canonical_literature_gaia_dr3_id,3907691503670204288,187.97040756180377,12.266403852442227,19.225168228149414,18.399978637695312,17.220239639282227,-1.0731277825233858,0.673812985420227,-1.1705579373316222,0.8016629815101624,0.793571285747444,0.6773620247840881,3.938239097595215,27.016334533691406,1.819111943244934,0,0,0,3907691503670204288,0.6492969523701612,True,within_radius,matched_by_source_id
canonical_081b5c6b3cc85a91bc8d3d87b7829735,201.325218594,-41.6260456984,candidate,,1.0,canonical_literature_gaia_dr3_id,6136960468677079040,201.32521900287284,-41.62604618989111,19.251501083374023,18.344621658325195,16.792945861816406,0.770577281432841,0.43995800614356995,0.7456855059509889,0.4041689932346344,-1.9027557578596437,0.4344710111618042,0.9068819880485535,1.0215150117874146,1.0656050443649292,7,4,0,6136960468677079040,0.002083569027668839,True,within_radius,matched_by_source_id
canonical_084628be42bc5efda3066895c897e5c3,200.95851128,-42.8657884805,candidate,,1.0,canonical_literature_gaia_dr3_id,6136754486343058432,200.95851183949625,-42.86579677367947,13.573203086853027,13.238096237182617,12.356199264526367,0.9992927288325848,0.14363600313663483,-17.640155530241188,0.1440729945898056,-6.205183794257269,0.261478990316391,0.9722669720649719,413.78546142578125,6.331315994262695,90,12,0,6136754486343058432,0.02989192386454541,True,within_radius,matched_by_source_id
canonical_088d8e02b2a659209752f75c18bab886,200.459138387,-42.6631040507,candidate,,1.0,canonical_literature_gaia_dr3_id,6136801181227770880,200.45913646164826,-42.6631018014951,16.791501998901367,16.854032516479492,15.768454551696777,1.470288149287907,0.6292629837989807,-7.936770737833072,0.4941369891166687,3.6325559627707538,0.7370929718017578,3.830137014389038,648.764404296875,10.298490524291992,29,0,0,6136801181227770880,0.009567767632537836,True,within_radius,matched_by_source_id
canonical_08c787f9559f581c8a5993abf696bd85,199.808021346,-44.9987356326,candidate,,1.0,canonical_literature_gaia_dr3_id,6087972557029485056,199.8080204510824,-44.9987356475834,17.32867431640625,17.24187469482422,16.33507537841797,,,,,,,7.563714981079102,1413.7762451171875,,24,0,0,6087972557029485056,0.0022787770670378866,True,within_radius,matched_by_source_id
