source_id,ra,dec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,astrometric_excess_noise,astrometric_excess_noise_sig,ruwe,phot_g_n_obs,phot_bp_n_obs,phot_rp_n_obs,astrometric_matched_transits,astrometric_params_solved,classprob_dsc_combmod_galaxy,classprob_dsc_combmod_star,non_single_star,radial_velocity,radial_velocity_error,phot_g_mean_flux_over_error,phot_bp_mean_flux_over_error,phot_rp_mean_flux_over_error,phot_bp_rp_excess_factor,phot_variable_flag,ra_error,dec_error,dist_arcsec,object_id
6088493553746197632,203.01685948638539,-43.412913334231504,18.191551208496094,18.444110870361328,17.04195213317871,,,,,,,8.490710258483887,403.8730773925781,,194,24,25,18,3,1.700000029813964e-05,0.9987959861755371,0,,,53.99506378173828,73.70276641845703,145.7415771484375,1.7882390022277832,N,1.685399055480957,1.0652669668197632,0.005441480587624522,2020ApJ...899..140W_0515
6112823340887553024,203.01704990755624,-42.03404237508985,20.265100479125977,18.360437393188477,16.750673294067383,,,,,,,14.69329833984375,57.864471435546875,,129,21,22,16,3,1.0,0.0,0,,,66.50741577148438,29.888195037841797,37.15736770629883,14.905936241149902,N,3.2407429218292236,2.004081964492798,0.008318095596125789,2020ApJ...899..140W_0516
6112586636648171776,203.0222747600226,-42.810673546432525,17.82295036315918,17.79083824157715,16.788867950439453,0.610968679876455,0.31852200627326965,-2.885186631653714,0.3931010067462921,-0.0830702184873471,0.2617729902267456,1.6112149953842163,27.02686309814453,1.7886120080947876,177,18,18,22,31,0.00036899998667649925,0.999580979347229,0,,,480.9026794433594,22.318313598632812,19.258882522583008,1.8380379676818848,N,0.3042230010032654,0.22566600143909454,0.005701261823215954,2020ApJ...899..140W_0517
6112823100370127104,203.0373099268915,-42.05212218794742,19.81952476501465,17.987319946289062,16.397014617919922,,,,,,,6.968242168426514,21.43292999267578,,186,28,26,21,3,1.0,0.0,0,,,77.65000915527344,33.945919036865234,89.96334838867188,13.765592575073242,N,1.0635160207748413,0.8858889937400818,0.002325804287949537,2020ApJ...899..140W_0518
6112800560380910976,203.03995014777294,-42.251236819348755,17.281339645385742,17.237998962402344,16.339202880859375,0.0954041563916144,0.1686830073595047,-1.5972737561495363,0.1823820024728775,1.2818403537161172,0.1513410061597824,1.0076930522918701,24.32433319091797,1.9977610111236572,229,35,34,26,31,0.00013000000035390258,0.9995650053024292,0,,,698.40380859375,60.73263168334961,66.41924285888672,1.7572139501571655,N,0.15478500723838806,0.12403500080108643,0.0027172830157439747,2020ApJ...899..140W_0519
6112922739310406784,203.05073156321842,-41.30050385068981,18.051027297973633,17.885709762573242,16.735198974609375,-4.546068702357838,0.6637399792671204,0.3169892175430467,0.6703450083732605,4.437058246566739,0.6583179831504822,4.410171985626221,305.78436279296875,4.131586074829102,180,21,22,22,95,0.0002099999983329326,0.9997680187225342,0,,,289.8402404785156,104.14949798583984,107.15404510498047,2.2588000297546387,N,0.576367974281311,0.5466079711914062,0.0016465921761560634,2020ApJ...899..140W_0520
6112903497858230656,203.05218863993298,-41.60379998699714,17.853853225708008,17.9190673828125,16.929107666015625,,,,,,,6.094272136688232,485.29254150390625,,198,29,29,27,3,0.00021399999968707561,0.9979730248451233,0,,,201.33966064453125,35.05958938598633,77.98168182373047,1.6694730520248413,N,0.6372010111808777,0.6539880037307739,0.005964371460526755,2020ApJ...899..140W_0521
6087635728522024704,203.07793882927552,-44.51746890078035,16.432842254638672,16.53730010986328,15.361576080322266,0.6773131024850603,0.7432979941368103,-9.67565463740144,0.6352459788322449,-9.592714664128007,0.6206619739532471,4.552060127258301,1220.466796875,12.987204551696777,166,29,27,24,95,0.0,0.9997940063476562,0,,,460.7995300292969,208.95782470703125,291.9616394042969,1.7877600193023682,N,0.5961319804191589,0.4837299883365631,0.010811602965336276,2020ApJ...899..140W_0522
6087655382288720000,203.0805408009571,-44.251039072308195,18.479551315307617,18.832992553710938,17.195817947387695,1.4210362419336575,0.1908790022134781,3.4121061370446366,0.21441300213336945,1.9423872919729157,0.20113800466060638,0.1707949936389923,0.14063799381256104,1.0135560035705566,184,9,9,19,95,3.400000059627928e-05,0.9999600052833557,0,,,346.22772216796875,16.735347747802734,12.813802719116211,1.8968230485916138,N,0.18386399745941162,0.1601489931344986,0.003516388570021222,2020ApJ...899..140W_0523
6112823611467512320,203.08265199420038,-42.01955976211902,17.72269630432129,17.59033203125,16.490182876586914,0.0729619097274776,0.2574470043182373,-3.3625129469516786,0.5568709969520569,3.23059552123818,0.35736900568008423,1.1840039491653442,13.165651321411133,1.799062967300415,117,11,12,15,95,0.00018899999849963933,0.9997940063476562,0,,,396.4014587402344,71.44341278076172,155.33340454101562,2.1290860176086426,N,0.4715220034122467,0.24871699512004852,0.032763183171762925,2020ApJ...899..140W_0524
