field_id,ra,dec,n_total_candidates,n_model_c,density,status,glon,glat
74,177.4678134639815,41.39573131871705,1566,912,456.0,success,160.51319476259013,70.94584619803251
76,189.71604722143343,38.59703987702259,1263,704,352.0,success,135.0637110583424,78.23344811978866
77,263.18298178773966,18.926782851779272,7981,3863,1931.5,success,42.080610427541984,25.55440229051245
78,320.3678281788016,14.218797643588342,6821,3351,1675.5,success,65.31798768550641,-24.411744005523182
81,210.87192951541869,52.36245436772342,1536,880,440.0,success,99.70311279212356,61.39440468271203
80,23.7590876836715,34.67591709279448,3112,1631,815.5,success,133.0140339601605,-27.34084728791067
79,217.13261014913883,-35.11850063792489,9434,3791,1895.5,success,324.4695875864394,23.660010540994417
83,299.24061796885127,-18.559185099814336,12191,5430,2715.0,success,22.8717004123175,-22.52451747061406
82,203.64621921485283,-33.469477673319474,6271,2986,1493.0,success,313.1689487023788,28.54314009902799
85,33.44857653326231,-19.838748969599298,1466,874,437.0,success,196.1932347392932,-69.7919973256335
84,256.44825685481635,40.989836862038295,3331,1721,860.5,success,65.43080765951687,36.720273811560666
86,216.5817733932054,-7.042126862240881,2352,1039,519.5,success,340.26869696436904,48.82826635123168
87,312.52776119239684,-24.210684056797486,4672,2294,1147.0,success,21.578059378110048,-36.06999973745717
88,309.4691352304089,-37.17772585077036,4995,2470,1235.0,success,5.164093472215565,-36.38186290679014
90,56.086669283311615,-27.67929651972981,1665,1071,535.5,success,224.04993992180232,-51.821342478878975
89,39.284473976010645,35.33529986164387,4159,1849,924.5,success,146.11218883901486,-22.734091432950375
92,223.50172921689904,53.62535224128231,1715,1031,515.5,success,90.94152372907853,55.21069506603212
93,73.32180020815335,-13.088144736293016,2438,1319,659.5,success,211.75424431351576,-32.047359601987885
91,258.6126861460632,19.45092440239395,6401,3572,1786.0,success,40.864300573770855,29.76687520503378
94,0.6336582791196843,-3.2252914365295915,1517,847,423.5,success,94.76510168781412,-63.390573917521785
96,207.5206885929941,-15.165437376555854,2349,1036,518.0,success,323.28277495884714,45.376320477386514
95,229.18926224112573,40.89118994949371,1667,942,471.0,success,67.17993292020934,57.19419432100979
97,317.50378923120945,-17.543018823614457,3671,1827,913.5,success,31.391132225013376,-38.305414192642715
98,83.92002976917698,-19.973790720649887,4213,2506,1253.0,success,223.44158389028337,-25.292946030572413
99,336.3481233327064,-32.41803440782156,2213,1165,582.5,success,14.464281241889273,-58.02636820869629
102,213.5038234404405,52.99573255508567,1606,948,474.0,success,97.8762858592057,59.92945342326835
100,131.58209171331825,9.400538129647762,2706,1532,766.0,success,217.61166891109244,29.764468069074212
101,55.48948925838949,-57.98621034276261,2099,1158,579.0,success,271.03106304294556,-47.202867400160855
105,202.0092779427682,6.965603945140908,1690,901,450.5,success,327.9039007026681,68.04492134391138
103,82.2698524870286,-22.63646367355707,3552,2174,1087.0,success,225.6208405464743,-27.669700272139355
104,323.36226608361414,-57.11510449387185,3089,1618,809.0,success,338.0705862577149,-44.16792560537416
107,221.22630466502585,74.11887754406065,2196,1209,604.5,success,113.04873163120246,40.75870560642867
106,275.9664664803054,54.25289146247505,4856,2388,1194.0,success,82.8970419929218,25.62497956097419
109,188.2748662098388,36.57294243070589,1207,666,333.0,success,144.15897435939308,79.78769277513187
108,56.07545446821935,-28.143839060905755,1692,1077,538.5,success,224.78981469111892,-51.90586021067502
110,113.46489726990568,-67.44689939099688,6644,3200,1600.0,success,279.1162479287593,-20.99518516980601
112,142.88927063536588,81.7785354077509,2586,1460,730.0,success,130.36832384658538,32.218843943207645
111,305.3317916981851,-3.35213723042167,12048,5024,2512.0,success,40.462976034543395,-21.485562910575133
113,195.13054744432984,-35.77261581367062,6047,2745,1372.5,success,305.0010043887835,27.062633502428735
115,10.161726610392437,-43.403469765597016,1467,907,453.5,success,309.8796759362735,-73.57891013125567
114,331.576391098582,-81.28987891385344,4171,2062,1031.0,success,309.81385570649064,-33.504566525186114
116,164.48080397765898,-12.373474404922964,1984,1032,516.0,success,264.38052518921154,41.84639891692185
117,174.54138909121082,19.976533135012623,1318,674,337.0,success,232.117760770754,71.77477689851152
118,143.07804481024075,79.96720583298149,2503,1434,717.0,success,132.09072555007998,33.307024800390494
121,12.21702114516304,26.956017463551134,2019,1110,555.0,success,122.2248656442098,-35.91220207178825
119,3.531876739786002,32.52936905677899,2920,1586,793.0,success,113.88193800346347,-29.685881154828913
120,252.65793336594064,44.38115695702657,2819,1494,747.0,success,69.5204251990381,39.710007350088695
122,26.672066067166732,-8.832472487431437,1488,832,416.0,success,161.03023158787485,-67.52058958729648
123,192.33923622572163,50.49143744505429,1754,1061,530.5,success,123.76644720985296,66.6334429380782
124,357.74515663428264,30.132218301185137,2980,1723,861.5,success,107.687737478057,-30.9436026470205
125,348.8274784392583,3.8536001884781546,1734,905,452.5,success,82.40715677939153,-51.293457097343406
126,330.59330490368575,-37.689002625618784,2579,1309,654.5,success,5.43015381842121,-53.126974180885625
127,342.11327324477503,16.42924449605842,2499,1274,637.0,success,84.93064369690178,-37.206860200586995
128,152.04459846866462,-21.335379190519394,3037,1460,730.0,success,259.5957627601349,27.48425917190309
129,5.568620989341735,-13.443421247833824,1371,749,374.5,success,95.01954043759686,-74.71210344043742
130,327.07151198107937,24.670197893021633,7185,3455,1727.5,success,78.32838229106623,-21.939802721177813
131,229.63577961974588,31.40679755033401,1861,1155,577.5,success,49.50419570532392,57.78330211153627
132,305.6225209487469,-13.423697335051388,8773,3875,1937.5,success,30.697155202152235,-26.1551854794624
133,159.193367928478,-12.689370611612722,1917,948,474.0,success,259.2222888063123,38.49640458958492
134,45.87882220569113,28.508386886655433,3122,1434,717.0,success,155.11976510199872,-25.984230384559098
135,294.55090169416025,-37.756709367562834,10433,4260,2130.0,success,1.569045310386825,-24.947624132169103
136,111.44886208679873,72.4725551294144,2920,1636,818.0,success,142.7092205659957,28.34924448714128
139,217.34423913933685,82.42173138092228,2619,1401,700.5,success,119.15285704817786,33.974094346168286
137,117.8617061436282,19.162866221761245,4283,2161,1080.5,success,201.7325456583868,21.548739510666223
140,181.8522324745244,8.648583790616302,1491,791,395.5,success,271.4851354360945,68.78819857498972
138,167.4496551328286,-20.768728961045788,2592,1383,691.5,success,273.13714853347795,36.15448067681205
141,37.84707603780599,-0.961876460859804,1302,664,332.0,success,169.61106214803286,-54.51085238456174
143,209.18333083230883,15.890318703887685,1464,782,391.0,success,359.68619549775167,71.14162105846464
142,72.18929073628087,-28.62018712846908,2263,1377,688.5,success,229.3259423328899,-38.09199285277729
144,318.08348875334315,-43.40054567337662,3555,1808,904.0,success,357.620889552006,-43.335392851217826
146,12.572279147410654,-14.456505251263602,1575,869,434.5,success,121.66433190122764,-77.32542530653633
147,154.8514103870367,63.379846566951734,1523,943,471.5,success,146.42830800478018,46.207968267978735
145,296.67284318809527,-33.13993590695642,11394,4886,2443.0,success,7.000462686933965,-25.29054920449319
149,33.15004130549977,19.076486119979045,1627,864,432.0,success,148.17639666338712,-39.78355227928841
150,213.4166699140345,17.867619444181113,1500,783,391.5,success,11.188506255700023,68.91176301261986
148,14.08946262777918,-46.71294233907373,1622,967,483.5,success,300.41832921382377,-70.39129080982707
153,153.74416154450054,20.03760146347925,1489,849,424.5,success,215.5816529203481,53.60640084927398
151,341.9661253379319,-12.896496583263806,1643,799,399.5,success,52.994587483610104,-57.803620819521
152,319.11928561710045,-50.74112077421826,3503,1731,865.5,success,347.4768189586774,-43.32794809594639
156,178.26515857533977,38.33947571285098,1481,856,428.0,success,166.74937710670386,73.41424032882361
155,22.922333472373843,11.831992797798256,1374,792,396.0,success,138.30725440386672,-49.834303582098435
154,177.13146040957193,-30.678276339346223,3731,1852,926.0,success,287.2709112288877,30.27305980530443
157,197.26951294293676,-16.65595594474143,2428,1117,558.5,success,309.0202905712373,46.00715435877537
159,318.43419151658316,-63.09907290440181,3894,2139,1069.5,success,331.57858637839104,-39.85921377453265
158,85.95044357188355,-42.26696568616629,3479,1865,932.5,success,248.1854582796258,-29.88405619232979
160,299.3284895196286,-14.20671429431637,13731,5851,2925.5,success,27.21273461832548,-20.88541891366597
161,136.6548635111197,-6.040920775744651,3194,1696,848.0,success,235.64298061825303,26.37861249477036
162,215.28189177356936,-13.728079577545367,2716,1165,582.5,success,333.7686038287641,43.70841253649225
164,123.59275159623026,82.719982151591,2876,1551,775.5,success,130.75695814761988,29.487487293809536
163,328.5730533605121,-25.30473311563533,2616,1350,675.0,success,25.23522006309272,-50.432579378029985
166,75.3929359609325,-0.0632047514693144,4343,2386,1193.0,success,199.6571419569713,-24.267194626897325
165,44.68797406370947,-7.161451444697718,1292,681,340.5,success,185.34151404417065,-53.81429072648355
167,353.5824188400212,11.276573772693766,1574,843,421.5,success,94.42565318316626,-47.28235166737713
170,80.6388799621243,-6.269393678976711,4247,2294,1147.0,success,208.3206236857013,-22.603522506919383
168,134.51765225365392,1.792527219057479,2780,1607,803.5,success,226.88399715691224,28.76023588589953
169,233.62798961659996,44.51490846714969,1715,943,471.5,success,71.98013519831109,53.16081176580452
171,164.81270771313683,44.34184276922169,1441,862,431.0,success,168.1063607842976,61.69787500006353
172,199.2732404700938,47.87256444906059,1562,917,458.5,success,111.04937106569253,68.65944824530976
173,107.08543256184647,40.05130692680418,4490,2136,1068.0,success,177.31054138192678,20.097290865947773
175,8.66148560475683,-28.437120249202422,1294,791,395.5,success,12.548629466533953,-86.06237342431166
176,186.4493039097982,-2.609387841321926,1707,912,456.0,success,290.1892115156093,59.62648586535621
174,135.48531322647614,0.3671537923463557,2589,1321,660.5,success,228.8464683682518,28.86514342512174
178,136.00103993977274,64.37394568398048,1872,1139,569.5,success,150.46682369632177,38.43077884501219
179,143.82564666919666,27.426716463190633,1669,969,484.5,success,200.75759928869456,46.71370282200744
177,204.58355361935003,-40.00972014190656,10283,4379,2189.5,success,312.59400845247114,21.98055785444439
180,166.52964826240938,22.854569642331032,1276,713,356.5,success,217.2594033984688,65.80233332859802
181,286.55140305710546,83.38847018096624,4202,2237,1118.5,success,115.55487949395958,26.509941841937287
183,328.77380933549773,18.52794889574491,4793,2327,1163.5,success,74.90285209394848,-27.46763072122136
182,69.2704483692644,-26.1721537761126,2010,1161,580.5,success,225.4613400973516,-40.01658288519699
185,84.44026836498466,-44.0451528113239,3410,1890,945.0,success,250.0005198149567,-31.27463177601776
184,343.00144556611434,-44.09555131833637,2087,1230,615.0,success,349.7715528781446,-60.64847641222589
186,158.84249466516434,-0.463704387899543,1452,749,374.5,success,247.47805873674943,47.22038265211609
188,280.0469011731331,-54.873908926163594,16135,6412,3206.0,success,340.7354732303961,-20.35381235562348
189,350.1557190568925,-3.474206611370719,1562,770,385.0,success,76.45928500197624,-57.90288882079294
187,306.737319826845,-41.23331523290388,5364,2537,1268.5,success,359.8597818867628,-34.85318066119245
191,271.21739538400857,40.6094116140635,5770,2808,1404.0,success,67.34870767970072,25.667201390877914
192,254.6604407231446,66.88738796211933,2739,1469,734.5,success,97.69563469718638,35.76537170416121
190,208.3520035211611,-33.18155371399361,6765,2768,1384.0,success,317.5875039486092,27.920466846149196
193,9.387761436753514,0.4983236612001979,1392,808,404.0,success,115.47871469877352,-62.172295268147096
194,183.20234591353653,32.861116011373824,1186,677,338.5,success,176.15687465007613,79.86786844397261
195,54.098505558446355,-55.78275777946369,2021,1116,558.0,success,268.61790533686343,-48.885229855903866
196,274.95881112331205,75.86316456592948,3533,1873,936.5,success,107.0044935790842,28.167654925162296
198,323.4025728330957,18.416440687594488,6600,3342,1671.0,success,70.88645277439059,-23.880268861086577
197,54.7994255053757,-72.70551206198799,2981,1514,757.0,success,288.07353158323485,-39.2106980422416
199,21.49455015691123,-29.68887484122296,1229,741,370.5,success,233.58607980645073,-81.98742943574256
